AeshniOdoHex,AmpMal,AphidaHemHex,AraAra,BelostHemHex,BrachyDipHex,BrachyTriHex,CaenidEphHex,CambarDecMal,CeratoDipHex,ChaoboDipHex,ChironDipHex,CicadeHemHex,CoenagOdoHex,Cop,CordulOdoHex,CorixiHemHex,CuliciDipHex,CurculColHex,DipHex,DytiscColHex,EphydrDipHex,GerridHemHex,GyriniColHex,HaliplColHex,HebridHemHex,HelophColHex,Hir,HydAra,HydropColHex,IsonycEphHex,IsotomColHex,LibellOdoHex,LimnepTriHex,LymnaeProGas,MesoveHemHex,MuscidDipHex,NepidaHemHex,NotoneHemHex,Oli,PhrygaTriHex,PhysidProGas,PlanorPulGas,PleidaHemHex,PodOst,PoduriColHex,ScirtiColHex,SminthColHex,SphaerVenBiv,StratiDipHex,TipuliDipHex,VeliidHemHex
21,1547,0,0,2,0,0,4,0,13,0,363,0,40,93,0,39,0,1,0,10,26,0,0,31,28,0,6,1,8,25,11,1,0,5,0,0,0,14,280,0,306,160,2,1,0,0,0,0,5,2,0
41,996,0,0,1,0,0,7,3,2,11,104,0,57,604,0,63,0,1,0,6,4,0,0,30,1,1,0,9,1,106,2,2,0,3,0,0,0,27,54,0,522,393,8,48,0,0,0,0,2,0,0
6,675,0,0,0,0,0,3,4,0,0,14,1,25,3,0,2,0,1,0,0,0,0,0,2,0,0,0,0,4,20,2,0,0,20,0,0,0,0,0,0,32,84,3,46,0,0,0,0,7,0,1
0,115,0,0,0,0,0,5,2,0,41,44,0,18,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,28,0,0,0,3,0,0,0,0,0,0,41,100,5,3,0,0,0,0,5,0,0
8,0,0,5,0,0,0,0,1,0,0,6,1,10,0,0,2,1,2,1,1,0,1,0,2,1,1,0,1,15,0,42,0,0,35,0,0,0,6,0,0,13,37,0,158,0,0,0,0,3,0,2
33,1,0,5,2,0,0,0,1,0,0,8,4,49,1,0,5,0,0,0,1,0,1,0,0,1,1,0,4,24,0,9,2,0,38,0,1,0,32,2,0,23,44,0,349,0,0,1,0,7,0,1
8,1,0,1,1,0,2,0,1,0,2,2,0,30,0,1,3,0,8,0,0,0,0,0,2,0,0,0,4,8,0,4,0,0,11,0,0,0,2,2,0,32,56,0,342,0,0,0,0,13,1,0
9,0,0,0,0,0,0,0,2,3,0,218,0,50,2,0,21,2,3,0,1,2,0,0,0,0,0,1,0,6,0,2,3,0,136,0,0,0,4,0,0,124,56,0,5,0,0,0,4,20,4,0
0,0,0,0,0,0,0,0,0,1,0,139,0,5,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,14,39,0,2,0,0,0,0,0,0,0
26,0,0,1,1,0,0,0,0,4,2,100,0,56,5,2,58,0,0,0,1,0,1,0,3,0,0,7,3,7,2,0,1,0,533,0,0,0,7,2,0,413,98,14,26,0,0,0,0,10,4,2
1,52,0,1,0,0,0,4,0,0,0,11,0,5,2,0,215,0,0,0,0,0,0,0,5,2,0,6,4,0,0,1,0,0,23,0,0,0,0,0,0,4,30,11,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,407,0,6,0,1,0,0,0,12,0,0,0,8,0,0,0,0,0,9,0,0,0,1,1,0,4,30,7,2,0,0,0,0,0,0,0
0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,1,0,0,5,1,0,2,0,0,0,23,0,0,0,21,0,0,5,42,2,1,0,0,0,0,0,0,0
